"Sample","System","Sym.Status","Treatment","Polyp_behaviour","Day","Genotype"
"AA2","heat_1","White","Heat",3,14,"A"
"AA3","cold_1","White","Cold",1,14,"A"
"AA4","control_1","White","Control",5,14,"A"
"AB1","control_2","Brown","Control",5,14,"B"
"AB2","cold_1","Brown","Cold",1,14,"B"
"AB3","heat_1","Brown","Heat",3,14,"B"
"AC1","heat_2","White","Heat",5,14,"C"
"AC3","control_2","White","Control",5,14,"C"
"AD4","control_3","White","Control",5,14,"D"
"AD5","heat_2","White","Heat",5,14,"D"
"AD6","cold_1","White","Cold",1,14,"D"
"AE2","cold_3","White","Cold",1,14,"E"
"AE5","heat_1","White","Heat",5,14,"E"
"AE6","control_2","White","Control",3,14,"E"
"AF2","control_2","Brown","Control",5,14,"F"
"AF3","heat_3","Brown","Heat",5,14,"F"
"AF5","cold_1","Brown","Cold",1,14,"F"
"AG2","control_3","White","Control",5,14,"G"
"AG3","cold_3","White","Cold",1,14,"G"
"AH1","heat_3","White","Heat",5,14,"H"
"AH2","control_1","White","Control",5,14,"H"
"AH3","cold_1","White","Cold",1,14,"H"
"AI1","control_3","Brown","Control",5,14,"I"
"AI2","heat_3","Brown","Heat",2,14,"I"
"AI5","cold_2","Brown","Cold",2,14,"I"
"AJ2","cold_3","Brown","Cold",1,14,"J"
"AJ3","heat_2","Brown","Heat",5,14,"J"
"AJ4","control_1","Brown","Control",5,14,"J"
"AK3","cold_2","White","Cold",1,14,"K"
"AK5","control_2","White","Control",5,14,"K"
"AL1","cold_2","Brown","Cold",1,14,"L"
"AL2","heat_2","Brown","Heat",4,14,"L"
"AM1","cold_1","Brown","Cold",1,14,"M"
"AM2","heat_1","Brown","Heat",4,14,"M"
"AM3","control_1","Brown","Control",5,14,"M"
"AN1","heat_3","Brown","Heat",1,14,"N"
"AN2","cold_3","Brown","Cold",1,14,"N"
"AN3","control_3","Brown","Control",5,14,"N"
"AP1","cold_3","White","Cold",1,14,"P"
"AP2","control_1","White","Control",5,14,"P"
"AP4","heat_3","White","Heat",4,14,"P"
"AS3","heat_1","Brown","Heat",2,14,"S"
"AS5","cold_2","Brown","Cold",1,14,"S"
